,dias,Curitiba - PR,Fortaleza - CE,Sarandi - RS,Brasília - DF,Bochum - GE
0,2023-01-01,2023-01-01 19:10:00-03:00,2023-01-01 17:46:00-03:00,2023-01-01 19:29:00-03:00,2023-01-01 18:44:00-03:00,2023-01-01 16:33:00-03:00
1,2023-01-02,2023-01-02 19:11:00-03:00,2023-01-02 17:47:00-03:00,2023-01-02 19:29:00-03:00,2023-01-02 18:45:00-03:00,2023-01-02 16:34:00-03:00
2,2023-01-03,2023-01-03 19:11:00-03:00,2023-01-03 17:47:00-03:00,2023-01-03 19:30:00-03:00,2023-01-03 18:45:00-03:00,2023-01-03 16:35:00-03:00
3,2023-01-04,2023-01-04 19:11:00-03:00,2023-01-04 17:48:00-03:00,2023-01-04 19:30:00-03:00,2023-01-04 18:45:00-03:00,2023-01-04 16:36:00-03:00
4,2023-01-05,2023-01-05 19:11:00-03:00,2023-01-05 17:48:00-03:00,2023-01-05 19:30:00-03:00,2023-01-05 18:46:00-03:00,2023-01-05 16:38:00-03:00
5,2023-01-06,2023-01-06 19:12:00-03:00,2023-01-06 17:48:00-03:00,2023-01-06 19:30:00-03:00,2023-01-06 18:46:00-03:00,2023-01-06 16:39:00-03:00
6,2023-01-07,2023-01-07 19:12:00-03:00,2023-01-07 17:49:00-03:00,2023-01-07 19:30:00-03:00,2023-01-07 18:46:00-03:00,2023-01-07 16:40:00-03:00
7,2023-01-08,2023-01-08 19:12:00-03:00,2023-01-08 17:49:00-03:00,2023-01-08 19:30:00-03:00,2023-01-08 18:46:00-03:00,2023-01-08 16:41:00-03:00
8,2023-01-09,2023-01-09 19:12:00-03:00,2023-01-09 17:50:00-03:00,2023-01-09 19:30:00-03:00,2023-01-09 18:47:00-03:00,2023-01-09 16:43:00-03:00
9,2023-01-10,2023-01-10 19:12:00-03:00,2023-01-10 17:50:00-03:00,2023-01-10 19:30:00-03:00,2023-01-10 18:47:00-03:00,2023-01-10 16:44:00-03:00
10,2023-01-11,2023-01-11 19:12:00-03:00,2023-01-11 17:50:00-03:00,2023-01-11 19:30:00-03:00,2023-01-11 18:47:00-03:00,2023-01-11 16:45:00-03:00
11,2023-01-12,2023-01-12 19:12:00-03:00,2023-01-12 17:51:00-03:00,2023-01-12 19:30:00-03:00,2023-01-12 18:47:00-03:00,2023-01-12 16:47:00-03:00
12,2023-01-13,2023-01-13 19:12:00-03:00,2023-01-13 17:51:00-03:00,2023-01-13 19:30:00-03:00,2023-01-13 18:47:00-03:00,2023-01-13 16:48:00-03:00
13,2023-01-14,2023-01-14 19:12:00-03:00,2023-01-14 17:51:00-03:00,2023-01-14 19:30:00-03:00,2023-01-14 18:48:00-03:00,2023-01-14 16:50:00-03:00
14,2023-01-15,2023-01-15 19:12:00-03:00,2023-01-15 17:52:00-03:00,2023-01-15 19:30:00-03:00,2023-01-15 18:48:00-03:00,2023-01-15 16:51:00-03:00
15,2023-01-16,2023-01-16 19:12:00-03:00,2023-01-16 17:52:00-03:00,2023-01-16 19:30:00-03:00,2023-01-16 18:48:00-03:00,2023-01-16 16:53:00-03:00
16,2023-01-17,2023-01-17 19:12:00-03:00,2023-01-17 17:52:00-03:00,2023-01-17 19:30:00-03:00,2023-01-17 18:48:00-03:00,2023-01-17 16:54:00-03:00
17,2023-01-18,2023-01-18 19:12:00-03:00,2023-01-18 17:52:00-03:00,2023-01-18 19:30:00-03:00,2023-01-18 18:48:00-03:00,2023-01-18 16:56:00-03:00
18,2023-01-19,2023-01-19 19:11:00-03:00,2023-01-19 17:53:00-03:00,2023-01-19 19:29:00-03:00,2023-01-19 18:48:00-03:00,2023-01-19 16:58:00-03:00
19,2023-01-20,2023-01-20 19:11:00-03:00,2023-01-20 17:53:00-03:00,2023-01-20 19:29:00-03:00,2023-01-20 18:48:00-03:00,2023-01-20 16:59:00-03:00
20,2023-01-21,2023-01-21 19:11:00-03:00,2023-01-21 17:53:00-03:00,2023-01-21 19:29:00-03:00,2023-01-21 18:48:00-03:00,2023-01-21 17:01:00-03:00
21,2023-01-22,2023-01-22 19:11:00-03:00,2023-01-22 17:53:00-03:00,2023-01-22 19:29:00-03:00,2023-01-22 18:48:00-03:00,2023-01-22 17:03:00-03:00
22,2023-01-23,2023-01-23 19:11:00-03:00,2023-01-23 17:53:00-03:00,2023-01-23 19:28:00-03:00,2023-01-23 18:48:00-03:00,2023-01-23 17:04:00-03:00
23,2023-01-24,2023-01-24 19:10:00-03:00,2023-01-24 17:54:00-03:00,2023-01-24 19:28:00-03:00,2023-01-24 18:48:00-03:00,2023-01-24 17:06:00-03:00
24,2023-01-25,2023-01-25 19:10:00-03:00,2023-01-25 17:54:00-03:00,2023-01-25 19:28:00-03:00,2023-01-25 18:48:00-03:00,2023-01-25 17:08:00-03:00
25,2023-01-26,2023-01-26 19:10:00-03:00,2023-01-26 17:54:00-03:00,2023-01-26 19:27:00-03:00,2023-01-26 18:48:00-03:00,2023-01-26 17:10:00-03:00
26,2023-01-27,2023-01-27 19:09:00-03:00,2023-01-27 17:54:00-03:00,2023-01-27 19:27:00-03:00,2023-01-27 18:48:00-03:00,2023-01-27 17:11:00-03:00
27,2023-01-28,2023-01-28 19:09:00-03:00,2023-01-28 17:54:00-03:00,2023-01-28 19:26:00-03:00,2023-01-28 18:47:00-03:00,2023-01-28 17:13:00-03:00
28,2023-01-29,2023-01-29 19:09:00-03:00,2023-01-29 17:54:00-03:00,2023-01-29 19:26:00-03:00,2023-01-29 18:47:00-03:00,2023-01-29 17:15:00-03:00
29,2023-01-30,2023-01-30 19:08:00-03:00,2023-01-30 17:54:00-03:00,2023-01-30 19:25:00-03:00,2023-01-30 18:47:00-03:00,2023-01-30 17:17:00-03:00
30,2023-01-31,2023-01-31 19:08:00-03:00,2023-01-31 17:54:00-03:00,2023-01-31 19:25:00-03:00,2023-01-31 18:47:00-03:00,2023-01-31 17:18:00-03:00
